company_id,company_name,listing_date,security_name,security_symbol,security_symbol_id,security_type,subsector_name
668,"Cebu Landmasters, Inc.",2017-06-02 00:00:00.000,"CEBU LANDMASTERS, INC.",CLI,635,S,9
182,Cebu Property Ventures and Development Corporation,1992-03-03 00:00:00.000,"CEBU PROPERTY VENTURE & DEVELOPMENT ""A""",CPV,296,S,9
182,Cebu Property Ventures and Development Corporation,1992-03-03 00:00:00.000,"CEBU PROPERTY VENTURE & DEVELOPMENT ""B""",CPVB,368,S,9
662,"Cemex Holdings Philippines, Inc.",2016-07-18 00:00:00.000,"Cemex Holdings Philippines, Inc.",CHP,625,S,5
183,"Central Azucarera de Tarlac, Inc.",1977-04-12 00:00:00.000,CENTRAL AZUCARERA DE TARLAC,CAT,366,S,4
223,Centro Escolar University,1986-11-10 00:00:00.000,CENTRO ESCOLAR UNIVERSITY,CEU,291,S,15
652,"Century Pacific Food, Inc.",2014-05-06 00:00:00.000,"CENTURY PACIFIC FOOD, INC.",CNPF,597,S,4
621,Century Peak Holdings Corporation,2009-10-06 00:00:00.000,Century Peak Holdings Corporation,CPM,549,S,17
189,"Century Properties Group, Inc.",1976-06-16 00:00:00.000,CENTURY PROPERTIES GROUP INC.,CPG,219,S,9
189,"Century Properties Group, Inc.",2020-01-10 00:00:00.000,"Century Properties Group, Inc. Preferred A Shares",CPGP,652,P,9
669,Chelsea Logistics and Infrastracture Holdings Corp.,2017-08-08 00:00:00.000,Chelsea Logistics and Infrastracture Holdings Corp.,C,636,S,13
22,"Chemical Industries of the Philippines, Inc.",1985-11-21 00:00:00.000,CHEMICAL INDUSTRIES OF THE PHILIPPINES,CIP,367,S,6
184,China Banking Corporation,1927-09-01 00:00:00.000,CHINA BANKING CORPORATION,CHIB,104,S,1
630,Cirtek Holdings Philippines Corporation,2017-12-08 00:00:00.000,Cirtek Holdings Philippines CorporationUS Dollar-Denomination Preferred B-2 Shares,TECB2,638,P,24
630,Cirtek Holdings Philippines Corporation,2011-11-18 00:00:00.000,CIRTEK HOLDINGS PHILIPPINES CORPORATION,TECH,569,S,24
209,"City & Land Developers, Incorporated",1999-12-13 00:00:00.000,"CITY & LAND DEVELOPERS, INC.",LAND,308,S,9
39,Cityland Development Corporation,1983-08-02 00:00:00.000,CITYLAND DEVELOPMENT CORPORATION,CDC,297,S,9
228,"Citystate Savings Bank, Inc.",2002-01-03 00:00:00.000,"CITYSTATE SAVINGS BANK, INC.",CSB,457,S,1
